Residence_ISO3,Number of players,Hours
ALB,6,10
ARE,12,228
ARG,104,2520
AUS,245,6088
AUT,147,3329
BEL,189,4013
BGD,3,105
BGR,56,1132
BHR,2,39
BIH,17,421
BLR,3,69
BLZ,2,42
BOL,1,7
BRA,253,5970
BRN,1,10
CAN,994,20331
CHE,1,1969
CHL,67,1607
CHN,8,185
COL,22,506
CRI,8,159
CYP,,39
CZE,67,1455
DEU,1413,30753
DNK,254,5400
DOM,7,145
DZA,,28
ECU,4,88
EGY,5,164
ESP,203,4234
EST,38,891
FIN,183,4644
FJI,1,35
FRA,391,8648
FRO,5,174
GBR,1032,24508
GEO,3,72
GIB,1,14
GLP,1,35
GRC,103,2148
GRD,1,10
GTM,3,22
HKG,12,285
HND,3,41
HRV,70,1665
HUN,61,1216
IDN,1,25
IND,16,345
IRL,72,1415
ISL,16,392
ISR,30,542
ITA,126,2955
JAM,1,13
JOR,5,85
JPN,9,209
KAZ,1,24
KOR,16,338
KWT,3,59
LBN,5,114
LIE,1,15
LTU,44,1048
LUX,9,185
LVA,30,705
MAR,13,253
MDA,1,21
MEX,76,1373
MKD,7,84
MLT,5,118
MNE,2,21
MNG,2,38
MYS,28,504
NAM,1,20
NIC,2,16
NLD,506,10422
NOR,193,4746
NZL,65,1266
PAK,5,59
PAN,4,77
PER,18,339
PHL,21,564
POL,243,5338
PRI,12,229
PRT,229,4687
PSE,1,7
QAT,3,74
ROU,91,2077
RUS,40,614
SAU,8,159
SGP,37,614
SLV,1,25
SRB,60,1577
SVK,26,581
SVN,65,1433
SWE,379,8873
SYR,2,50
THA,5,83
TTO,8,194
TUN,4,85
TUR,45,998
TWN,2,62
UKR,9,151
URY,14,306
USA,4569,93259
VCT,1,15
VEN,29,205
VNM,11,205
ZAF,24,506
