,Zeitstempel,GADE,Game,Platform,Genre,Hours,earnings,whyplay,League,streams,Narcissism,Gender,Age,Work,Degree,Playstyle,GAD_T,SWL_T,SPIN_T,Residence_ISO3,Birthplace_ISO3
1,42052.00437,Not difficult at all,Skyrim,"Console (PS, Xbox, ...)",Action,15,I play for fun,having fun,N/A,0,1,Male,25,Unemployed / between jobs,Bachelor (or equivalent),Singleplayer,1,23,5,USA,USA
2,42052.0068,Somewhat difficult,Other,PC,Other,8,I play for fun,having fun,N/A,2,1,Male,41,Unemployed / between jobs,Bachelor (or equivalent),Multiplayer - online - with strangers,8,16,33,USA,USA
3,42052.0386,Not difficult at all,Other,PC,Other,0,I play for fun,having fun,n/a,0,4,Female,32,Employed,Bachelor (or equivalent),Singleplayer,8,17,31,DEU,DEU
4,42052.06804,Not difficult at all,Other,PC,Other,20,I play for fun,improving,N/A,5,2,Male,28,Employed,Bachelor (or equivalent),Multiplayer - online - with online acquaintances or teammates,0,17,11,USA,USA
5,42052.08948,Very difficult,Other,"Console (PS, Xbox, ...)",Other,20,I play for fun,having fun,n/a,1,1,Male,19,Employed,High school diploma (or equivalent),Multiplayer - online - with strangers,14,14,13,KOR,USA
6,42052.13119,Not difficult at all,Other,"Console (PS, Xbox, ...)",Other,4,I play for fun,relaxing,-,0,2,Male,24,Employed,Bachelor (or equivalent),Multiplayer - online - with real life friends,1,17,13,USA,USA
7,42052.14622,Not difficult at all,Other,PC,Other,30,I play for fun,relaxing,N/A,8,2,Male,29,Employed,High school diploma (or equivalent),Multiplayer - online - with online acquaintances or teammates,0,16,26,USA,USA
8,42052.1593,NA,Other,"Console (PS, Xbox, ...)",Other,25,I play for fun,having fun,N/A,0,5,Female,23,Employed,Bachelor (or equivalent),Singleplayer,0,23,NA,JPN,USA
9,42052.19737,Very difficult,Other,"Console (PS, Xbox, ...)",Other,2,I play for fun,winning,N/A,0,1,Female,23,Employed,Bachelor (or equivalent),Multiplayer - online - with strangers,12,12,55,USA,USA
10,42052.22995,Somewhat difficult,World of Warcraft,PC,Fantasy,25,I play for fun,improving,-,0,1,Female,27,Employed,High school diploma (or equivalent),Multiplayer - online - with online acquaintances or teammates,10,13,26,FIN,FIN
11,42052.24204,Somewhat difficult,Other,PC,Other,14,I play for fun,having fun,n/a,0,1,Female,21,Student at college / university,High school diploma (or equivalent),Singleplayer,19,27,6,USA,USA
12,42052.26022,NA,League of Legends,PC,MOBA,25,I play for fun,having fun,Gold,2,1,Male,25,Employed,Bachelor (or equivalent),Multiplayer - online - with real life friends,0,33,3,USA,USA
13,42052.27609,NA,Other,PC,Other,10,I play for fun,improving,none,0,2,Male,18,Student at college / university,High school diploma (or equivalent),Multiplayer - online - with real life friends,0,31,23,USA,USA
14,42052.30804,Somewhat difficult,Other,"Console (PS, Xbox, ...)",Other,25,I play for fun,relaxing,n/a,1,1,Male,19,Student at school,High school diploma (or equivalent),Multiplayer - online - with real life friends,3,26,29,USA,USA
15,42052.39588,Not difficult at all,Other,PC,Other,30,I play for fun,having fun,na,5,1,Male,35,Employed,High school diploma (or equivalent),Multiplayer - online - with strangers,2,13,33,CAN,CAN
16,42052.42542,Somewhat difficult,Other,PC,Other,14,I play for fun,having fun,-,0,3,Male,18,Student at college / university,High school diploma (or equivalent),Singleplayer,8,28,30,AUS,AUS
17,42052.46977,Not difficult at all,Other,"Console (PS, Xbox, ...)",Other,4,I play for fun,having fun,n/a,5,1,Female,24,Unemployed / between jobs,Bachelor (or equivalent),Multiplayer - offline (people in the same room),4,15,36,GBR,GBR
18,42052.47327,Not difficult at all,Other,PC,Other,20,I play for fun,"improving, having fun",none,1,1,Male,30,Employed,Bachelor (or equivalent),all of the above,1,19,8,BIH,BIH
19,42052.54144,Somewhat difficult,Skyrim,PC,Action,10,I play for fun,relaxing,n/a,0,1,Male,29,Unemployed / between jobs,High school diploma (or equivalent),Singleplayer,8,6,36,USA,DEU
20,42052.60941,Not difficult at all,Other,"Console (PS, Xbox, ...)",Other,6,I play for fun,relaxing,n/a,2,2,Male,22,Employed,Bachelor (or equivalent),Multiplayer - online - with strangers,0,31,11,IRL,GBR
21,42052.65299,Not difficult at all,Other,"Console (PS, Xbox, ...)",Other,7,I play for fun,having fun,n/a,0,1,Female,20,Employed,High school diploma (or equivalent),Singleplayer,2,16,26,FIN,FIN
22,42052.65303,Extremely difficult,Starcraft 2,PC,Strategy,60,I play for fun,improving,Diamond/Master,10,3,Male,24,Student at college / university,High school diploma (or equivalent),Multiplayer - online - with online acquaintances or teammates,15,9,37,DEU,DEU
23,42052.66261,Not difficult at all,Other,PC,Other,10,I play for fun,having fun,NA,0,2,Male,33,Employed,"Ph.D., Psy. D., MD (or equivalent)",Singleplayer,3,31,5,CAN,CAN
24,42052.66336,NA,World of Warcraft,PC,Fantasy,21,I play for fun,having fun,na,0,1,Male,41,Employed,Bachelor (or equivalent),Multiplayer - online - with real life friends,0,35,0,GBR,GBR
25,42052.66394,Somewhat difficult,Other,PC,Other,20,I play for fun,having fun,n/a,0,1,Female,25,Unemployed / between jobs,Bachelor (or equivalent),Multiplayer - online - with real life friends,10,8,47,GBR,GBR
26,42052.66637,Somewhat difficult,Other,PC,Other,21,I play for fun,having fun,Not Applicable.,0,5,Male,26,Unemployed / between jobs,Master (or equivalent),Singleplayer,4,7,20,MYS,KOR
27,42052.67053,Not difficult at all,Skyrim,PC,Action,20,I play for fun,having fun,none,0,3,Female,20,Student at college / university,High school diploma (or equivalent),Singleplayer,0,16,39,GBR,GBR
28,42052.67249,Somewhat difficult,League of Legends,PC,MOBA,5,I play for fun,having fun,Bronze,5,3,Male,36,Employed,Bachelor (or equivalent),Multiplayer - online - with strangers,5,26,31,ROU,ROU
29,42052.67252,Not difficult at all,Other,"Console (PS, Xbox, ...)",Other,40,I play for fun,having fun,none,2,1,Male,19,Student at college / university,High school diploma (or equivalent),Multiplayer - online - with real life friends,4,24,15,USA,USA
30,42052.68109,Not difficult at all,Other,PC,Other,6,I play for fun,having fun,n/a,0,3,Male,18,Student at school,None,Multiplayer - offline (people in the same room),1,25,12,USA,USA
31,42052.68394,Not difficult at all,Other,PC,Other,9,I play for fun,having fun,n/a,0,2,Male,18,Student at school,None,Multiplayer - online - with online acquaintances or teammates,6,16,14,USA,USA
32,42052.69086,Extremely difficult,Other,PC,Other,18,I play for fun,having fun,none,4,2,Male,20,Student at college / university,High school diploma (or equivalent),Singleplayer,15,8,46,SWE,SWE
33,42052.69539,Not difficult at all,Other,PC,Other,8,I play for fun,having fun,None,0,1,Male,26,Employed,Bachelor (or equivalent),Multiplayer - online - with strangers,2,27,11,CAN,CAN
34,42052.69547,NA,League of Legends,PC,MOBA,9,I play for fun,improving,Silver 4,2,4,Female,23,Employed,High school diploma (or equivalent),Multiplayer - online - with real life friends,0,26,39,GBR,GBR
35,42052.70229,Somewhat difficult,Starcraft 2,PC,Strategy,6,I play for fun,winning,Gold,8,1,Female,22,Unemployed / between jobs,High school diploma (or equivalent),Multiplayer - online - with strangers,2,25,60,GBR,GBR
36,42052.70754,Not difficult at all,League of Legends,PC,MOBA,7,I play for fun,having fun,Gold,4,2,Male,25,Student at college / university,Master (or equivalent),Multiplayer - online - with strangers,1,21,29,USA,USA
37,42052.7208,Somewhat difficult,Other,PC,Other,18,I play for fun,having fun,None,3,1,Female,22,Student at college / university,High school diploma (or equivalent),Multiplayer - online - with real life friends,4,24,NA,GRC,GRC
38,42052.72589,Somewhat difficult,Other,"Console (PS, Xbox, ...)",Other,18,I play for fun,improving,N/A,1,3,Male,24,Student at college / university,High school diploma (or equivalent),Singleplayer,14,13,13,USA,USA
39,42052.72893,Somewhat difficult,Other,"Console (PS, Xbox, ...)",Other,10,I play for fun,having fun,N/a,0,1,Female,24,Student at college / university,High school diploma (or equivalent),Singleplayer,7,11,41,CAN,CAN
40,42052.75257,Somewhat difficult,Other,PC,Other,20,I play for fun,having fun,none,4,3,Male,21,Student at college / university,Master (or equivalent),Singleplayer,5,27,8,IRL,IRL
41,42052.757,Very difficult,Other,PC,Other,10,I play for fun,having fun,N/a,0,2,Female,18,Student at college / university,High school diploma (or equivalent),Singleplayer,14,17,24,USA,CHE
42,42052.77984,Somewhat difficult,Other,PC,Other,10,I play for fun,having fun,-,0,1,Male,18,Student at school,High school diploma (or equivalent),Multiplayer - online - with strangers,4,15,9,GBR,GBR
43,42052.8042,Not difficult at all,Other,PC,Other,12,I play for fun,having fun,N/A,2,2,Male,27,Employed,Bachelor (or equivalent),Multiplayer - online - with strangers,0,23,1,USA,USA
44,42052.82394,Somewhat difficult,Counter Strike,PC,Shooter,7,I play for fun,having fun,Gold Nova,2,2,Male,21,Student at college / university,High school diploma (or equivalent),Multiplayer - online - with real life friends,7,15,17,USA,USA
45,42052.82683,Somewhat difficult,Other,"Console (PS, Xbox, ...)",Other,5,I play for fun,winning,NA,0,3,Male,24,Student at college / university,Bachelor (or equivalent),Multiplayer - online - with real life friends,13,28,3,CAN,CAN
46,42052.83005,Somewhat difficult,Counter Strike,PC,Shooter,NA,I play for fun,winning,-,10,3,Male,20,Student at college / university,High school diploma (or equivalent),Multiplayer - online - with online acquaintances or teammates,8,14,38,GBR,GBR
47,42052.83695,Somewhat difficult,Other,PC,Other,4,I play for fun,improving,none,20,2,Male,18,Student at school,High school diploma (or equivalent),Singleplayer,5,22,30,USA,USA
48,42052.8442,Somewhat difficult,Other,PC,Other,20,I play for fun,relaxing,none,0,1,Female,25,Employed,Bachelor (or equivalent),Singleplayer,7,20,24,USA,USA
50,42052.84958,Very difficult,League of Legends,PC,MOBA,25,I play for fun,improving,Unranked - Low ELO,35,3,Male,18,Student at college / university,High school diploma (or equivalent),Multiplayer - online - with strangers,11,10,17,USA,USA
51,42052.85064,Somewhat difficult,Other,"Console (PS, Xbox, ...)",Other,18,I play for fun,having fun,Not applicable,10,2,Male,18,Student at college / university,None,Singleplayer,4,16,20,USA,USA
52,42052.85654,Not difficult at all,Other,PC,Other,15,I play for fun,improving,n/a,10,2,Male,18,Student at college / university,High school diploma (or equivalent),Multiplayer - online - with real life friends,2,20,12,TUR,TUR
53,42052.86107,Not difficult at all,League of Legends,PC,MOBA,10,I play for fun,having fun,na,2,3,Male,28,Unemployed / between jobs,Bachelor (or equivalent),Multiplayer - online - with real life friends,1,13,11,GBR,GBR
54,42052.87256,Somewhat difficult,Other,PC,Other,30,I play for fun,having fun,NA,0,2,Female,21,Student at college / university,High school diploma (or equivalent),Singleplayer,2,28,20,USA,USA
55,42052.87856,Somewhat difficult,Other,"Console (PS, Xbox, ...)",Other,11,I play for fun,having fun,0,0,2,Female,22,Student at college / university,High school diploma (or equivalent),Multiplayer - online - with strangers,8,28,17,USA,USA
56,42052.8896,Very difficult,Other,PC,Other,0,I play for fun,having fun,n/a,0,2,Male,19,Student at college / university,High school diploma (or equivalent),Singleplayer,10,8,44,USA,USA
57,42052.89404,Not difficult at all,Counter Strike,PC,Shooter,30,I play for fun,improving,Silver 2,2,2,Male,18,Student at school,None,Multiplayer - online - with real life friends,0,26,NA,GBR,BGR
59,42052.89571,Not difficult at all,Other,"Console (PS, Xbox, ...)",Other,10,I play for fun,having fun,not applicable,3,5,Male,24,Student at college / university,Master (or equivalent),Multiplayer - offline (people in the same room),0,31,6,USA,USA
60,42052.89701,Somewhat difficult,Other,PC,Other,20,I play for fun,having fun,0,5,1,Male,20,Unemployed / between jobs,High school diploma (or equivalent),Multiplayer - online - with online acquaintances or teammates,6,7,13,CAN,CAN
61,42052.8991,Somewhat difficult,Other,PC,Other,0,I play for fun,having fun,I don't know what that means,0,2,Male,19,Student at college / university,None,Singleplayer,9,20,27,CAN,CAN
62,42052.90734,Somewhat difficult,Other,PC,Other,40,I play for fun,having fun,None,0,1,Male,27,Employed,Bachelor (or equivalent),Singleplayer,0,30,35,SWE,SWE
63,42052.91132,Not difficult at all,Counter Strike,PC,Shooter,18,"I play mostly for fun but earn a little on the side (tournament winnings, streaming, etc)",improving,N/A,18,1,Male,18,Student at college / university,High school diploma (or equivalent),Multiplayer - online - with strangers,4,25,4,USA,USA
64,42052.9536,Somewhat difficult,World of Warcraft,PC,Fantasy,5,I play for fun,having fun,n/a,0,1,Female,30,Employed,Master (or equivalent),Multiplayer - online - with strangers,9,27,38,DEU,USA
65,42052.96608,Very difficult,Other,"Console (PS, Xbox, ...)",Other,25,I play for fun,having fun,N/A,0,2,Female,18,Student at school,None,Multiplayer - online - with strangers,15,17,32,GBR,GBR
